"","pic_name","contains_fruits_seeds"
"1","SDM_000018.jpg","does_not_contain"
"2","SDM_000026.jpg","does_not_contain"
"3","SDM_000077.jpg","does_not_contain"
"4","SDM_000079.jpg","does_not_contain"
"5","SDM_000082.jpg","does_not_contain"
"6","SDM_000087.jpg","does_not_contain"
"7","SDM_000096.jpg","does_not_contain"
"8","SDM_000102.jpg","does_not_contain"
"9","SDM_000133.jpg","contains"
"10","SDM_000151.jpg","contains"
"11","SDM_000185.jpg","does_not_contain"
"12","SDM_000202.jpg","contains"
"13","SDM_000212.jpg","contains"
"14","SDM_000231.jpg","does_not_contain"
"15","SDM_000235.jpg","contains"
"16","SDM_000237.jpg","contains"
"17","SDM_000246.jpg","does_not_contain"
"18","SDM_000253.jpg","does_not_contain"
"19","SDM_000259.jpg","does_not_contain"
"20","SDM_000263.jpg","does_not_contain"
"21","SDM_000275.jpg","contains"
"22","SDM_000276.jpg","contains"
"23","SDM_000289.jpg","does_not_contain"
"24","SDM_000317.jpg","contains"
"25","SDM_000324.jpg","contains"
"26","SDM_000341.jpg","does_not_contain"
"27","SDM_000343.jpg","contains"
"28","SDM_000364.jpg","does_not_contain"
"29","SDM_000365.jpg","does_not_contain"
"30","SDM_000379.jpg","does_not_contain"
"31","SDM_000380.jpg","does_not_contain"
"32","SDM_000399.jpg","does_not_contain"
"33","SDM_000411.jpg","does_not_contain"
"34","SDM_000434.jpg","does_not_contain"
"35","SDM_000517.jpg","does_not_contain"
"36","SDM_000576.jpg","does_not_contain"
"37","SDM_000582.jpg","does_not_contain"
"38","SDM_000583.jpg","does_not_contain"
"39","SDM_000585.jpg","does_not_contain"
"40","SDM_000588.jpg","does_not_contain"
"41","SDM_000608.jpg","does_not_contain"
"42","SDM_000626.jpg","does_not_contain"
"43","SDM_000629.jpg","does_not_contain"
"44","SDM_000642.jpg","does_not_contain"
"45","SDM_000654.jpg","does_not_contain"
"46","SDM_000700.jpg","does_not_contain"
"47","SDM_000740.jpg","contains"
"48","SDM_000762.jpg","does_not_contain"
"49","SDM_000766.jpg","does_not_contain"
"50","SDM_000782.jpg","contains"
"51","SDM_000798.jpg","does_not_contain"
"52","SDM_000810.jpg","does_not_contain"
"53","SDM_000821.jpg","does_not_contain"
"54","SDM_000823.jpg","does_not_contain"
"55","SDM_000858.jpg","does_not_contain"
"56","SDM_000859.jpg","does_not_contain"
"57","SDM_000869.jpg","does_not_contain"
