AccSpeciesName,endo,wind,cache,water,ant,attach,ballistic,biotic
Abarema acreana,1,0,0,0,0,0,0,1
Abarema adenophora,1,0,0,0,0,0,0,1
Abarema auriculata,1,0,0,0,0,0,0,1
Abarema barbouriana,1,0,0,0,0,0,0,1
Abarema brachystachya,1,0,0,0,0,0,0,1
Abarema campestris,1,0,0,0,0,0,0,1
Abarema cochleata,1,0,0,0,0,0,0,1
Abarema commutata,1,0,0,0,0,0,0,1
Abarema curvicarpa,1,0,0,0,0,0,0,1
Abarema filamentosa,1,0,0,0,0,0,0,1
Abarema floribunda,1,0,0,0,0,0,0,1
Abarema gallorum,1,0,0,0,0,0,0,1
Abarema jupunba,1,0,0,0,0,0,0,1
Abarema laeta,1,0,0,0,0,0,0,1
Abarema leucophylla,1,0,0,0,0,0,0,1
Abarema longipedunculata,1,0,0,0,0,0,0,1
Abarema macradenia,1,0,0,0,0,0,0,1
Abarema mataybifolia,1,0,0,0,0,0,0,1
Abarema microcalyx,1,0,0,0,0,0,0,1
Abarema piresii,1,0,0,0,0,0,0,1
Abies alba,0,1,0,0,0,0,0,0
Abies amabilis,0,1,0,0,0,0,0,0
Abies balsamea,0,0.888888888888889,0.111111111111111,0,0,0,0,0.111111111111111
Abies bracteata,0,1,0,0,0,0,0,0
Abies cephalonica,0,1,0,0,0,0,0,0
Abies concolor,0,1,0,0,0,0,0,0
Abies firma,0,1,0,0,0,0,0,0
Abies fraseri,0,1,0,0,0,0,0,0
Abies grandis,0,1,0,0,0,0,0,0
Abies homolepis,0,0.833333333333333,0.166666666666667,0,0,0,0,0.166666666666667
Abies lasiocarpa,0.125,0.875,0,0,0,0,0,0.125
Abies magnifica,0.222222222222222,0.777777777777778,0,0,0,0,0,0.533333333333333
Abies mariesii,0,1,0,0,0,0,0,0
Abies nordmanniana,0,1,0,0,0,0,0,0
Abies procera,0,1,0,0,0,0,0,0
Abies religiosa,0,1,0,0,0,0,0,0
Abies sachalinensis,0,0.833333333333333,0.166666666666667,0,0,0,0,0.166666666666667
Abies veitchii,0,1,0,0,0,0,0,0
Abrahamia ditimena,1,0,0,0,0,0,0,1
Abrahamia thouvenotii,0.666666666666667,0,0.333333333333333,0,0,0,0,1
Abrahamia turkii,1,0,0,0,0,0,0,1
Abrophyllum ornans,1,0,0,0,0,0,0,1
Abrotanella caespitosa,0,1,0,0,0,0,0,0
Abrotanella fertilis,0,1,0,0,0,0,0,0
Abrotanella inconspicua,0,1,0,0,0,0,0,0
Abrotanella linearis,0,1,0,0,0,0,0,0
Abrotanella muscosa,0,1,0,0,0,0,0,0
Abrotanella patearoa,0,1,0,0,0,0,0,0
Abrotanella pusilla,0,1,0,0,0,0,0,0
Abrotanella rostrata,0,1,0,0,0,0,0,0
Abrotanella rosulata,0,1,0,0,0,0,0,0
Abrotanella spathulata,0,1,0,0,0,0,0,0
Abrus precatorius,0,0,0,1,0,0,0,0
Abuta bullata,1,0,0,0,0,0,0,1
Abuta grandifolia,1,0,0,0,0,0,0,1
Abuta imene,1,0,0,0,0,0,0,1
Abuta panamensis,1,0,0,0,0,0,0,1
Abuta racemosa,1,0,0,0,0,0,0,1
Abuta rufescens,1,0,0,0,0,0,0,1
Abuta selloana,1,0,0,0,0,0,0,1
Abuta steyermarkii,1,0,0,0,0,0,0,1
Abutilon auritum,1,0,0,0,0,0,0,1
Abutilon otocarpum,0,1,0,0,0,0,0,0
Acacia acradenia,0,0,0,0,1,0,0,1
Acacia acuminata,0,0,1,0,0,0,0,1
Acacia adsurgens,0,0,0,0,1,0,0,1
Acacia ammobia,0,0,0,0,1,0,0,1
Acacia aneura,0,0,0,0,1,0,0,1
Acacia aulacocarpa,0.0714285714285714,0,0,0.785714285714286,0.142857142857143,0,0,0.214285714285714
Acacia auriculiformis,1,0,0,0,0,0,0,1
Acacia baileyana,0,0,0,0,1,0,0,1
Acacia binervata,0,0,0,0,1,0,0,1
Acacia blakelyi,0,0,0,0,1,0,0,0.4
Acacia brachystachya,0,0,0,0,1,0,0,1
Acacia brassii,1,0,0,0,0,0,0,1
Acacia burbidgeae,0,0,0,0,1,0,0,1
Acacia calyculata,1,0,0,0,0,0,0,1
Acacia cana,0,0,0,0,1,0,0,1
Acacia catechu,1,0,0,0,0,0,0,1
Acacia celsa,1,0,0,0,0,0,0,1
Acacia cincinnata,1,0,0,0,0,0,0,1
Acacia colletioides,1,0,0,0,0,0,0,1
Acacia collinsii,0,0,0,0,1,0,0,1
Acacia concurrens,0,0,0,0,1,0,0,1
Acacia crassicarpa,1,0,0,0,0,0,0,1
Acacia cuthbertsonii,0,0,0,0,1,0,0,1
Acacia cyclops,0.75,0,0,0,0.25,0,0,1
Acacia dealbata,0,0,0,0,1,0,0,0.941176470588235
Acacia desmondii,0,0,0,0,1,0,0,1
Acacia diffusa,0,0,0,0,1,0,0,1
Acacia disparrima,1,0,0,0,0,0,0,1
Acacia estrophiolata,0,1,0,0,0,0,0,0
Acacia extensa,0,0,0,0,1,0,0,1
Acacia flavescens,1,0,0,0,0,0,0,1
Acacia fleckeri,1,0,0,0,0,0,0,1
Acacia floribunda,0,0,0,0,1,0,0,1
Acacia hakeoides,0,0,0,0,1,0,0,1
Acacia holosericea,0.333333333333333,0,0,0,0.666666666666667,0,0,0.157894736842105
Acacia homalophylla,0,0,0,0,1,0,0,1
Acacia implexa,1,0,0,0,0,0,0,1
Acacia irrorata,0,0,0,0,1,0,0,1
Acacia karina,0,0,0,0,1,0,0,1
Acacia kempeana,0,0,0,0,1,0,0,1
Acacia latisepala,0,0,0,0,1,0,0,1
Acacia latzii,0,0,0,0,1,0,0,1
Acacia leptocarpa,0.25,0,0,0,0.75,0,0,1
